objectid,name
188,go
13715,Surakarta
88,Torres
320,Scrabble
181,Risk
13,The Settlers of Catan
1797,Pay Day
1219,Labyrinth
4616,Arimaa
3570,Chicken Cha Cha Cha
3886,nine men's morris
432,Take 5
483,Diplomacy
63141,Speculation
45,Liar's Dice
5,Acquire
27443,baccarat
60,Vinci
4394,The Settlers of the Stone Age
16986,Ubongo
526,Abalone
2181,contract bridge
555,The Princes of Florence
10653,Pirates Constructible Strategy Game
1261,Medina
6866,mus
69,Bōku
30932,Lascaux
305,The Flying Dutchman
66,Löwenherz
61,Fossil
3071,Blood Bowl
5709,Touché
5255,Gorkamorka
10814,Dawn Under
902,Mutineer
40628,Finca
943,Ligretto
173,Formula D
152,Mü & More
199,Manhattan
41,Can't Stop
150,Carabande
2116,Cardino
10716,Kemps
28,Illuminati
118,Modern Art
1597,Streetcar
10,Elfenland
1730,Coppit
1258,Phase 10
121,Dune
132,Caesar & Cleopatra
214,Café International
244,Circus Maximus
3967,Battlefleet Gothic
128,Take It Easy
11330,Jass
256,Mississippi Queen
15,Cosmic Encounter
34,Arkham Horror (1st Edition)
18,RoboRally
25417,BattleLore
1115,poker
27,Supremacy
497,Vampire
46,Medici
12,Ra
2363,Orient Express
1535,Formula 1
13260,CLOWN
645,Bosworth
228,Lunch Money
619,Bottle Imp
2679,Mouse Trap
4522,The Ladybug's Costume Party
130,Iron Dragon
45,Liar's dice
2779,Sauron
772,Ausbrecher AG
614,Rubik's Puzzle Match
926,Catan: Cities & Knights
230,Merchant of Venus
2821,Uno Stacko
10013,La Foi et le Glaive
8395,Giganten (board game)
26,Age of Renaissance
74,Apples to Apples
6282,Azhanti High Lightning
1032,"B-17, Queen of the Skies"
96,Broadsides and Boarding Parties
254,Empires in Arms
14832,Assault Across the Suez
1901,Star Fleet Battle Force
5824,The Kids of Catan
126,The Really Nasty Horse Racing Game
450,Octi
423,1856: Railroading in Upper Canada from 1856
19030,Frankenstein
33160,Endeavor
54,Tikal
116,Guillotine
380,Polarity
1159,Evo
232,Serenissima
28989,Garçon
196,Kremlin
50,Lost Cities
42,Tigris and Euphrates
286,Machiavelli
175,Beat the Buzzard
2346,DVONN
12589,Razzia!
528,ZÈRTZ
72,Traitor
118610,Santa Cruz
7006,Management
67,Conquest
7,Cathedral
30,Dark Tower
5770,Orchard
94,Union Pacific
73439,Troyes
3085,Gang of Four
14982,Revenge of the Dinosaurs
53953,Thunderstone
392,Brawl
542,Democrazy
335,Breakthru
11730,Diam
4282,Farkle
3319,Neutreeko
168,Empire Builder
1599,StarGate
1717,Freedom in the Galaxy
76,Air Baron
639,American Megafauna
3616,BattleForce
13765,Bizingo
14258,Blood Feud in New York
1817,Devil Bunny Hates the Earth
1420,Don't Go to Jail
6411,Rumis
115,I'm the Boss!
679,Minion Hunter
8033,Search & Destroy: Tactical Combat Vietnam 1965-1966
1035,Squad Leader
484,Stratego: Legends
1202,The Sorcerer's Cave
2904,Third Reich/Great Pacific War series
12597,Thunder on South Mountain
3074,Uncle Wiggily
589,Wiz-War
103,Titan
10431,Epic
49,Mamma Mia!
2197,Kensington
22287,Buccaneer
57,Schoko & Co.
1702,Klondike
545,Kaleidos
242,Junta
93,El Grande
700,Battle Masters
51,Ricochet Robots
1117,You're Bluffing
442,Um Reifenbreite
95,Igel Ärgern
485,Galloping Pigs
58,Kings & Things
444,Escape from the Hidden Castle
438,Scotland Yard
2987,Pirate's Cove
98,Axis & Allies
5400,janggi
10630,Memoir '44
11,Bohnanza
3626,Demons
804,Thunder Road
2613,Intruder
1428,Image
4123,Gambler
1405,Adventurer
1679,Carrier
827,Attila
3084,Buccaneer
13373,Choco
3125,7th Sea
119974,Syzygy
4025,Lankhmar
3151,Star Fighter
321,Mole in the Hole
62,Curse of the Mummy's Tomb
325,Seafarers of Catan
6919,Invasion: Earth
3487,BattleTech Collectible Card Game
8063,Ghettopoly
759,Turning Point: Stalingrad
404,Worm up!
403,Elk Fest
310,Wizard's Quest
7535,Timelag
10510,Piepmatz
